,title,genres,movie_url
128,Paltan (film),Action|Drama|History,https://upload.wikimedia.org/wikipedia/en/thumb/6/64/Paltan_2018.jpg/220px-Paltan_2018.jpg
129,Laila Majnu (2018 film),Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/1/1a/Laila_Majnu_2018.jpg/220px-Laila_Majnu_2018.jpg
130,Gali Guleiyan,Drama|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/d/dd/Gali_Guliyan_Poster.jpg/220px-Gali_Guliyan_Poster.jpg
131,Halkaa,Drama|Family,
132,Pataakha,Action|Comedy|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/Pataakha_poster.jpg/220px-Pataakha_poster.jpg
133,Batti Gul Meter Chalu,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/0/0a/Batti_Gul_Meter_Chalu_Poster.jpg/220px-Batti_Gul_Meter_Chalu_Poster.jpg
134,Love Sonia,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Love_Sonia_-_Poster.jpg/220px-Love_Sonia_-_Poster.jpg
135,Manto (2018 film),Biography|Drama,https://upload.wikimedia.org/wikipedia/en/d/dc/Manto_film_poster_2017.jpg
136,Ishqeria,Comedy|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Ishqeria_-_2018_Movie_Poster.jpg/220px-Ishqeria_-_2018_Movie_Poster.jpg
137,Manmarziyaan,Romance,https://upload.wikimedia.org/wikipedia/en/thumb/b/b5/Manmarziyaan_official_poster.jpg/220px-Manmarziyaan_official_poster.jpg
138,Mitron,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/b/bf/Mitron_poster.jpg/220px-Mitron_poster.jpg
139,Sui Dhaaga,Comedy|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Sui_Dhaaga_New_Poster.jpg/220px-Sui_Dhaaga_New_Poster.jpg
140,Baazaar,Crime|Drama|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Baazaar_-_Poster.jpg/220px-Baazaar_-_Poster.jpg
141,Jalebi (film),Drama,https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/Jalebi_Movie_poster.jpg/220px-Jalebi_Movie_poster.jpg
142,FryDay,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/a/a8/FryDay.jpg/220px-FryDay.jpg
143,Tumbbad,Drama|Fantasy|Horror,https://upload.wikimedia.org/wikipedia/en/thumb/4/41/Tumbbad_poster.jpg/220px-Tumbbad_poster.jpg
144,Helicopter Eela,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Helicopter_Eela.jpg/220px-Helicopter_Eela.jpg
145,Namaste England,Comedy|Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Namaste_England_poster.jpg/220px-Namaste_England_poster.jpg
146,Andhadhun,Crime|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/4/47/Andhadhun_poster.jpg/220px-Andhadhun_poster.jpg
147,Badhaai Ho,Comedy|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Badhaai_Ho_Official_Poster.jpg/220px-Badhaai_Ho_Official_Poster.jpg
148,5 Weddings,Comedy|Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/5_Weddings_Poster.jpg/220px-5_Weddings_Poster.jpg
149,Kaashi in Search of Ganga,Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/0/08/Kaashi_in_Search_of_Ganga.jpg/220px-Kaashi_in_Search_of_Ganga.jpg
150,Dassehra,Action|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/3/39/Dassehra_Official_Poster.jpg/220px-Dassehra_Official_Poster.jpg
151,The Journey of Karma,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/d/da/The_Journey_of_Karma_Poster.jpg/220px-The_Journey_of_Karma_Poster.jpg
152,Jack and Dil,Comedy|Family,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/Jack_and_Dil_poster.jpg/220px-Jack_and_Dil_poster.jpg
153,Mohalla Assi,Comedy|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/5/5b/Mohalla_Assi_Poster.jpg/220px-Mohalla_Assi_Poster.jpg
154,Pihu,Drama|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/e/e6/Pihu_Movie_Poster.jpg/220px-Pihu_Movie_Poster.jpg
155,Bhaiaji Superhit,Action|Comedy|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/Bhaiaji_Superhit_new_Poster.jpg/220px-Bhaiaji_Superhit_new_Poster.jpg
156,Rajma Chawal,Comedy|Drama|Family,
157,Zero (2018 film),Comedy|Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/e/e6/Zero_official_poster.jpg/220px-Zero_official_poster.jpg
158,Simmba,Action|Comedy|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Simmba_poster.jpg/220px-Simmba_poster.jpg
159,Tiger Zinda Hai,Action|Adventure|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/2/22/Tiger_Zinda_Hai_poster.jpg/220px-Tiger_Zinda_Hai_poster.jpg
160,Golmaal Again,Action|Comedy|Fantasy,https://upload.wikimedia.org/wikipedia/en/thumb/4/49/Ajay_Devgn%27s_Golmaal_Again_poster.jpg/220px-Ajay_Devgn%27s_Golmaal_Again_poster.jpg
161,Judwaa 2,Action|Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/9/91/Judwaa_2_Poster.jpg/220px-Judwaa_2_Poster.jpg
162,Ok Jaanu,Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/Ok_Jaanu_poster.jpg/220px-Ok_Jaanu_poster.jpg
163,Coffee with D,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/Official_Poster_of_Coffee_With_D.jpg/220px-Official_Poster_of_Coffee_With_D.jpg
164,Kaabil,Action|Drama|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/c/ce/Kaabil_Movie_Poster.jpg/220px-Kaabil_Movie_Poster.jpg
